year,state,max_avg_temperature,min_avg_temperature,mean_temperature,max_temperature,min_temperature,num_frost_days,num_trop_nights,max_1day_precipitation,max_5day_cumulative_precipitation,precipitation
1950-01,USA,2.46,-7.38,-3.15,12.87,-19.08,21.57,0.21,17.24,40.6,90.09
1950-01,USA.2593214,20.03,12.03,15.29,25.26,0.16,0.81,0.24,24.25,41.76,99.14
1950-01,USA.2593215,-11.85,-19.05,-15.64,-2.19,-30.29,30.41,0,12.64,36.8,53.15
1950-01,USA.2593216,11.32,-1.62,3.74,20.46,-12,17.77,0,7.63,24.52,26.25
1950-01,USA.2593217,13.78,4.84,8.75,25.18,-5.77,10.71,0.68,48.4,129.4,299.96
1950-01,USA.2593218,7.53,-1.46,2.43,15.47,-10.09,17.02,0,26.01,60.36,159.27
1950-01,USA.2593219,2.21,-11.19,-5.72,12.7,-24.94,28.82,0,10.32,20.87,46.5
1950-01,USA.2593220,6.57,-1.34,2.28,17.43,-12.83,18.45,0,15.85,41.25,97.04
1950-01,USA.2593221,12.33,4.48,7.97,20.89,-4.35,7.25,0,10.64,49.95,67.72
1950-01,USA.2593222,13.17,4.25,7.9,23.97,-4.85,7.65,0,14.24,59.13,69.55
1950-01,USA.2593223,24.38,15.63,19.43,26.55,11.37,0,2.26,2.98,5.37,13.08
1950-01,USA.2593224,20.85,10.83,14.92,25.5,0.54,0.51,0,9.22,16.22,43.86
1950-01,USA.2593225,21.15,16.95,18.74,22.63,14.51,0,12.27,48.05,100.1,199.47
1950-01,USA.2593226,-4.89,-12.75,-9.25,5.7,-25.91,29.38,0,17.32,47.43,132.22
1950-01,USA.2593227,6.26,-3.97,0.37,19.95,-15.54,22.56,0,41.33,82.29,187.65
1950-01,USA.2593228,7.87,-1.79,2.62,21.13,-12.79,21.29,0,45,106.71,262.98
1950-01,USA.2593229,-1.33,-13.01,-8.02,8.89,-26.73,28.94,0,16.77,28.35,55.4
1950-01,USA.2593230,6.98,-6.79,-1.72,18.88,-19.56,25.74,0,7.28,13.3,19.71
1950-01,USA.2593231,12.56,3.52,7.66,23.56,-4.97,11.71,0,46.96,126.61,346.9
1950-01,USA.2593232,20.66,13.38,16.34,25.96,1.11,0.84,3.22,35.78,63.75,128
1950-01,USA.2593233,-1.33,-12.32,-7.16,12.24,-26.44,28.5,0,15.23,36.05,105.9
1950-01,USA.2593234,11.66,3.58,6.97,21.6,-5.79,8.5,0,12.51,53.44,75.89
1950-01,USA.2593235,5.16,-3,0.8,16.4,-15.27,21.47,0,19.97,51.25,117.7
1950-01,USA.2593236,0.14,-9.85,-5.48,12.06,-21.75,27.07,0,22.48,42.62,116.46
1950-01,USA.2593237,-12.03,-22.71,-17.95,-0.32,-33.75,30.89,0,14.27,21.76,53.68
1950-01,USA.2593238,19.68,11.29,14.71,25.92,-0.76,1.54,1.09,36.06,75.48,156.11
1950-01,USA.2593239,7.78,-2.91,1.49,20.88,-15.31,21.55,0.01,38.52,83.28,157.67
1950-01,USA.2593240,-12.77,-22.7,-18.4,5.14,-34.77,30.5,0,7.39,20.29,52.1
1950-01,USA.2593241,0.5,-13.35,-7.72,15.11,-27.54,29.99,0,6.35,10.16,20.84
1950-01,USA.2593242,0.42,-10.14,-5.48,9.49,-23.19,27.49,0,8.91,18.89,50.16
1950-01,USA.2593243,1.03,-9.77,-4.58,15.63,-24.82,27.39,0,17.44,47.06,130.55
1950-01,USA.2593244,9.9,1.66,5.4,20.93,-7.25,12.39,0,10.99,41.97,70.7
1950-01,USA.2593245,10.41,-2.95,2.54,19.66,-14.39,19.65,0,7.53,20.86,24.61
1950-01,USA.2593246,3.79,-5.16,-0.96,16.95,-19.57,23.16,0,20.1,48.8,145.61
1950-01,USA.2593247,16.95,7.32,11.37,23.72,-3.07,4.15,0.01,11.82,21.73,55.88
1950-01,USA.2593248,-18.54,-27.25,-23.48,-3.5,-36.08,31,0,10.08,18.22,36.87
1950-01,USA.2593249,8.72,-0.76,3.57,21.85,-12.27,18.87,0,35.42,91.94,227.74
1950-01,USA.2593250,11.39,-0.85,4.21,24.19,-13.16,17.18,0.02,21.72,46.66,78.34
1950-01,USA.2593251,-1.49,-8.52,-5.43,7.82,-23.35,26.49,0,28.63,71.56,237.65
1950-01,USA.2593252,7.76,-0.79,2.86,20.27,-11.66,17.68,0,22.22,58.26,139.9
1950-01,USA.2593253,7.31,-0.79,2.92,16.19,-12.63,17.53,0,15.36,36.11,90.87
1950-01,USA.2593254,19.87,9.63,13.7,25.02,-0.57,1.79,0,11.19,16.53,37.6
1950-01,USA.2593255,-9.9,-21.53,-16.37,3.9,-33.41,30.84,0,6,14.6,25
1950-01,USA.2593256,14.62,6.06,9.86,23.92,-3.44,5.65,0.01,42.09,114.53,303.71
1950-01,USA.2593257,18.19,6.88,11.35,27.28,-5.23,6.48,1.05,14.38,25.71,56.51
1950-01,USA.2593258,-0.78,-10.95,-6.57,8.42,-24.49,29.7,0,9.58,22.94,57.12
1950-01,USA.2593259,0.33,-10.82,-5.36,15.47,-27.15,28.04,0,17.09,43.99,132.19
1950-01,USA.2593260,14.11,4.51,8.44,23.66,-4.91,8.11,0,19.23,51.66,91.06
1950-01,USA.2593261,-6.74,-13.78,-10.63,4.72,-25.17,29.1,0,30.91,81.02,178.19
1950-01,USA.2593262,12.32,2.45,6.46,23.22,-9.4,12.49,0,27.59,91.94,184.23
1950-01,USA.2593263,-4.09,-15.85,-10.69,5.37,-30.4,29.38,0,17.35,30.82,75.48
1950-01,USA.2593264,-4.43,-14.67,-10.09,7.7,-29.09,29.42,0,7.8,21.02,53.43
1950-02,USA,3.77,-6.36,-2.09,11.9,-17.5,18.71,0.06,15.42,30.3,54.14
1950-02,USA.2593214,18.43,7.29,12.05,23.99,-2.05,3.54,0,21.53,46.07,95.57
1950-02,USA.2593215,-19.38,-26.29,-23.47,-7.37,-35.34,27.62,0,5.83,15.52,26.39
1950-02,USA.2593216,16.18,2.11,8.25,21.7,-5.08,10.44,0,7.18,15.62,15.78
1950-02,USA.2593217,14.38,3.72,8.03,22.06,-2.84,8.82,0,49.61,73.33,116.12
1950-02,USA.2593218,13.72,2.53,7.34,19.16,-6.76,8.26,0,27.57,51.94,68.18
1950-02,USA.2593219,6.55,-7.71,-1.71,13.98,-18.08,25.09,0,7.11,10.42,21.77
1950-02,USA.2593220,1.32,-6.83,-3.06,7.89,-19.9,24.79,0,25.75,46.23,105.44
1950-02,USA.2593221,7.19,0.76,3.54,13.08,-8.7,10.33,0,15.89,49.3,77.23
1950-02,USA.2593222,7.75,0.4,3.4,13.33,-7.06,10.3,0,19.37,59.76,80.68
1950-02,USA.2593223,22.86,12.31,17.16,26.98,3.59,0.34,0.69,9.13,12.54,19.02
1950-02,USA.2593224,18.63,7.14,12.16,24.78,-1.63,3.44,0,14.92,25.02,46.91
1950-02,USA.2593225,21.32,17.09,18.87,22.56,15.51,0,10.96,34.48,77.27,162.76
1950-02,USA.2593226,2.21,-6.4,-2.86,10.9,-26.07,23.86,0,11.93,31.64,68.26
1950-02,USA.2593227,3.77,-4.44,-0.91,10.34,-18.07,21.79,0,32.74,52.84,108.52
1950-02,USA.2593228,4.04,-4.11,-0.47,11.92,-17.95,22.02,0,41.34,80.34,160.83
