,State,Climate Data,P Values,Count
0,Alabama,[],[],0
1,Alaska,"['max_1day_precipitation_diff', 'precipitation_diff']","[0.04, 0.0073]",2
2,Arizona,"['max_1day_precipitation_diff', 'precipitation_diff']","[0.0257, 0.0006]",2
3,Arkansas,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'max_temperature_diff', 'min_temperature_diff', 'num_trop_nights_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.001, 0.0158, 0.0034, 0.0101, 0.0016, 0.0049, 0.0004, 0.0001, 0.0001]",9
4,California,"['num_frost_days_diff', 'max_1day_precipitation_diff', 'precipitation_diff']","[0.0333, 0.0146, 0.0078]",3
5,Colorado,[],[],0
6,Connecticut,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0011, 0.0006, 0.0011]",3
7,Delaware,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0003, 0.0006, 0.0002]",3
8,Florida,['max_temperature_diff'],[0.0139],1
9,Georgia,['max_avg_temperature_diff'],[0.0319],1
10,Hawaii,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'min_temperature_diff', 'precipitation_diff']","[0.0397, 0.0059, 0.0184, 0.0003, 0.0225]",5
11,Idaho,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0002, 0.0002, 0.0007]",3
12,Illinois,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'min_temperature_diff', 'num_trop_nights_diff', 'max_1day_precipitation_diff']","[0.0052, 0.0066, 0.0098, 0.0165, 0.0166, 0.0377]",6
13,Indiana,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'min_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff']","[0.0029, 0.0239, 0.013, 0.0164, 0.0007, 0.0018]",6
14,Iowa,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'max_temperature_diff', 'num_trop_nights_diff']","[0.0136, 0.0045, 0.0117, 0.0493, 0.0029]",5
15,Kansas,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'min_temperature_diff', 'num_trop_nights_diff']","[0.0038, 0.0071, 0.0042, 0.0059, 0.0185]",5
16,Kentucky,"['max_avg_temperature_diff', 'mean_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0025, 0.0072, 0.0003, 0.0005, 0.0008]",5
17,Louisiana,"['max_avg_temperature_diff', 'mean_temperature_diff', 'max_temperature_diff', 'num_trop_nights_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0007, 0.0043, 0.004, 0.0379, 0.0199, 0.0143, 0.0001]",7
18,Maine,"['max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0021, 0.0102, 0.0186]",3
19,Maryland,"['max_avg_temperature_diff', 'max_temperature_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0195, 0.0302, 0.0007, 0.0016, 0.0013]",5
20,Massachusetts,"['max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0395, 0.0296]",2
21,Michigan,"['min_avg_temperature_diff', 'min_temperature_diff', 'precipitation_diff']","[0.0304, 0.0086, 0.0355]",3
22,Minnesota,"['min_avg_temperature_diff', 'num_frost_days_diff']","[0.0375, 0.0037]",2
23,Mississippi,"['max_avg_temperature_diff', 'max_1day_precipitation_diff', 'precipitation_diff']","[0.0496, 0.0447, 0.0402]",3
24,Missouri,"['max_avg_temperature_diff', 'min_avg_temperature_diff', 'mean_temperature_diff', 'max_temperature_diff', 'min_temperature_diff', 'num_trop_nights_diff', 'max_5day_cumulative_precipitation_diff']","[0.0029, 0.0101, 0.0062, 0.0263, 0.017, 0.0088, 0.0004]",7
25,Montana,[],[],0
26,Nebraska,[],[],0
27,Nevada,"['num_frost_days_diff', 'max_1day_precipitation_diff', 'max_5day_cumulative_precipitation_diff', 'precipitation_diff']","[0.0257, 0.0011, 0.0022, 0.0021]",4
28,New Hampshire,[],[],0
