,state,climate data VADER,p values VADER,count VADER,climate data distilBERT,p values distilBERT,count distilBERT
0,Alaska,precipitation_diff,0.0093,1,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_frost_days_diff, max_5day_cumulative_precipitation_diff","0.0434, 0.0275, 0.0319, 0.0101, 0.0165, 0.0223",6
1,Arizona,"max_1day_precipitation_diff, precipitation_diff","0.025, 0.0016",2,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_trop_nights_diff, max_5day_cumulative_precipitation_diff","0.0202, 0.0195, 0.0168, 0.0184, 0.0249, 0.0186, 0.0311",7
2,Arkansas,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_trop_nights_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0028, 0.038, 0.0094, 0.0172, 0.0043, 0.013, 0.0013, 0.0004, 0.0001",9,None,None,0
3,California,"num_frost_days_diff, max_1day_precipitation_diff, precipitation_diff","0.0373, 0.022, 0.0121",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0028, 0.0019, 0.0021, 0.0091, 0.0052, 0.0377, 0.0022, 0.0364, 0.0139, 0.0416",10
4,Colorado,None,None,0,"max_temperature_diff, max_1day_precipitation_diff, precipitation_diff","0.0182, 0.0284, 0.025",3
5,Connecticut,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0014, 0.0019, 0.0029",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0259, 0.0101, 0.014, 0.0215, 0.0098",5
6,Delaware,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0005, 0.0008, 0.0003",3,"min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0254, 0.036, 0.0285, 0.0215",4
7,Florida,max_temperature_diff,0.0223,1,"num_trop_nights_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0469, 0.0309, 0.0225",3
8,Georgia,None,None,0,precipitation_diff,0.0335,1
9,Hawaii,"min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, precipitation_diff","0.0175, 0.0471, 0.0018, 0.0299",4,"num_trop_nights_diff, max_1day_precipitation_diff","0.0176, 0.0461",2
10,Idaho,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0005, 0.0005, 0.0012",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff, num_frost_days_diff, num_trop_nights_diff","0.0081, 0.0147, 0.0091, 0.0246, 0.0157, 0.0144, 0.0162",7
11,Illinois,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0165, 0.0206, 0.029, 0.0474, 0.0361",5,None,None,0
12,Indiana,"max_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff","0.0104, 0.0358, 0.046, 0.0011, 0.0024",5,None,None,0
13,Iowa,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, num_trop_nights_diff","0.0202, 0.0108, 0.0208, 0.0061",4,max_5day_cumulative_precipitation_diff,0.0454,1
14,Kansas,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff","0.0175, 0.033, 0.021, 0.027",4,None,None,0
15,Kentucky,"max_avg_temperature_diff, mean_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0114, 0.0264, 0.0013, 0.0019, 0.0031",5,None,None,0
16,Louisiana,"max_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0041, 0.0185, 0.011, 0.0369, 0.0316, 0.0007",6,None,None,0
17,Maine,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.0072, 0.0298, 0.0498",3,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, max_temperature_diff, min_temperature_diff","0.0089, 0.0118, 0.0102, 0.018, 0.0284",5
18,Maryland,"max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff, precipitation_diff","0.003, 0.0049, 0.0038",3,None,None,0
19,Massachusetts,precipitation_diff,0.0461,1,"max_avg_temperature_diff, min_avg_temperature_diff, mean_temperature_diff, min_temperature_diff, num_trop_nights_diff","0.0178, 0.0099, 0.012, 0.0265, 0.0152",5
20,Michigan,"min_temperature_diff, precipitation_diff","0.0254, 0.0239",2,max_avg_temperature_diff,0.0385,1
21,Minnesota,num_frost_days_diff,0.0115,1,"max_avg_temperature_diff, mean_temperature_diff, max_1day_precipitation_diff, max_5day_cumulative_precipitation_diff","0.0276, 0.0484, 0.0393, 0.0353",4
